model_name,split,calibration_mode,label,bin,bin_left,bin_right,confidence,accuracy,count
strong_signal_only,test,raw,CD,8,0.8,0.9,0.8469673524300257,0.6833333333333333,60
strong_signal_only,test,raw,CD,9,0.9,1.0,0.9701404073630949,0.9397590361445783,249
strong_signal_only,test,raw,HYP,0,0.0,0.1,0.028840421984998515,0.03471698113207547,1325
strong_signal_only,test,raw,HYP,1,0.1,0.2,0.1445530681959732,0.11307420494699646,283
strong_signal_only,test,raw,HYP,2,0.2,0.30000000000000004,0.24775541334782006,0.13836477987421383,159
strong_signal_only,test,raw,HYP,3,0.30000000000000004,0.4,0.34903924564520517,0.225,120
strong_signal_only,test,raw,HYP,4,0.4,0.5,0.4502166849680436,0.20512820512820512,78
strong_signal_only,test,raw,HYP,5,0.5,0.6000000000000001,0.5463207699358463,0.3125,64
strong_signal_only,test,raw,HYP,6,0.6000000000000001,0.7000000000000001,0.6416260321935018,0.4666666666666667,60
strong_signal_only,test,raw,HYP,7,0.7000000000000001,0.8,0.7529307908482021,0.5333333333333333,45
strong_signal_only,test,raw,HYP,8,0.8,0.9,0.8487828558399564,0.7142857142857143,42
strong_signal_only,test,raw,HYP,9,0.9,1.0,0.9292506358840249,0.7727272727272727,22
strong_signal_only,test,temperature_scaled,NORM,0,0.0,0.1,0.019043200018905453,0.013801756587202008,797
strong_signal_only,test,temperature_scaled,NORM,1,0.1,0.2,0.15020249835124203,0.16666666666666666,102
strong_signal_only,test,temperature_scaled,NORM,2,0.2,0.30000000000000004,0.24151393822554884,0.21839080459770116,87
strong_signal_only,test,temperature_scaled,NORM,3,0.30000000000000004,0.4,0.35025556961695353,0.32,75
strong_signal_only,test,temperature_scaled,NORM,4,0.4,0.5,0.44888917752254154,0.4444444444444444,81
strong_signal_only,test,temperature_scaled,NORM,5,0.5,0.6000000000000001,0.5492473566532134,0.52,100
strong_signal_only,test,temperature_scaled,NORM,6,0.6000000000000001,0.7000000000000001,0.657959037468213,0.5798319327731093,119
strong_signal_only,test,temperature_scaled,NORM,7,0.7000000000000001,0.8,0.7498560857506438,0.6983240223463687,179
strong_signal_only,test,temperature_scaled,NORM,8,0.8,0.9,0.8550025859604711,0.8608695652173913,230
strong_signal_only,test,temperature_scaled,NORM,9,0.9,1.0,0.9512033246666471,0.9626168224299065,428
strong_signal_only,test,temperature_scaled,MI,0,0.0,0.1,0.02981048036494198,0.03096234309623431,1195
strong_signal_only,test,temperature_scaled,MI,1,0.1,0.2,0.1429879270838673,0.17793594306049823,281
strong_signal_only,test,temperature_scaled,MI,2,0.2,0.30000000000000004,0.24398795257206835,0.2875816993464052,153
strong_signal_only,test,temperature_scaled,MI,3,0.30000000000000004,0.4,0.349574789768312,0.4878048780487805,82
strong_signal_only,test,temperature_scaled,MI,4,0.4,0.5,0.44688431606736295,0.6046511627906976,86
strong_signal_only,test,temperature_scaled,MI,5,0.5,0.6000000000000001,0.5519529292871664,0.6483516483516484,91
strong_signal_only,test,temperature_scaled,MI,6,0.6000000000000001,0.7000000000000001,0.6494587604204813,0.6933333333333334,75
strong_signal_only,test,temperature_scaled,MI,7,0.7000000000000001,0.8,0.7539809285730555,0.8695652173913043,69
strong_signal_only,test,temperature_scaled,MI,8,0.8,0.9,0.8537627288273403,0.8831168831168831,77
strong_signal_only,test,temperature_scaled,MI,9,0.9,1.0,0.9520845560545332,0.9887640449438202,89
strong_signal_only,test,temperature_scaled,STTC,0,0.0,0.1,0.02874409543152058,0.019147084421235857,1149
strong_signal_only,test,temperature_scaled,STTC,1,0.1,0.2,0.14162474562940391,0.12173913043478261,230
strong_signal_only,test,temperature_scaled,STTC,2,0.2,0.30000000000000004,0.24850985466960876,0.18253968253968253,126
strong_signal_only,test,temperature_scaled,STTC,3,0.30000000000000004,0.4,0.3549262527809587,0.313953488372093,86
strong_signal_only,test,temperature_scaled,STTC,4,0.4,0.5,0.4491236222461915,0.39436619718309857,71
strong_signal_only,test,temperature_scaled,STTC,5,0.5,0.6000000000000001,0.5451693368308684,0.4117647058823529,68
strong_signal_only,test,temperature_scaled,STTC,6,0.6000000000000001,0.7000000000000001,0.6545941303302716,0.5194805194805194,77
strong_signal_only,test,temperature_scaled,STTC,7,0.7000000000000001,0.8,0.751155063107207,0.7027027027027027,74
strong_signal_only,test,temperature_scaled,STTC,8,0.8,0.9,0.8563204551381725,0.8303571428571429,112
strong_signal_only,test,temperature_scaled,STTC,9,0.9,1.0,0.9444183989268977,0.8780487804878049,205
strong_signal_only,test,temperature_scaled,CD,0,0.0,0.1,0.03193279672460399,0.03067993366500829,1206
strong_signal_only,test,temperature_scaled,CD,1,0.1,0.2,0.14127246368115473,0.10424710424710425,259
strong_signal_only,test,temperature_scaled,CD,2,0.2,0.30000000000000004,0.24407807828109956,0.2616822429906542,107
strong_signal_only,test,temperature_scaled,CD,3,0.30000000000000004,0.4,0.34014771717140474,0.25301204819277107,83
strong_signal_only,test,temperature_scaled,CD,4,0.4,0.5,0.4453434295231296,0.3548387096774194,62
strong_signal_only,test,temperature_scaled,CD,5,0.5,0.6000000000000001,0.5466448894718237,0.42105263157894735,57
strong_signal_only,test,temperature_scaled,CD,6,0.6000000000000001,0.7000000000000001,0.6542224231220427,0.49206349206349204,63
strong_signal_only,test,temperature_scaled,CD,7,0.7000000000000001,0.8,0.750146194604727,0.6615384615384615,65
strong_signal_only,test,temperature_scaled,CD,8,0.8,0.9,0.8537323553772533,0.6911764705882353,68
strong_signal_only,test,temperature_scaled,CD,9,0.9,1.0,0.9673343070766383,0.9473684210526315,228
strong_signal_only,test,temperature_scaled,HYP,0,0.0,0.1,0.030255685596847864,0.03139717425431711,1274
strong_signal_only,test,temperature_scaled,HYP,1,0.1,0.2,0.14383987731235043,0.11464968152866242,314
strong_signal_only,test,temperature_scaled,HYP,2,0.2,0.30000000000000004,0.2480339148265873,0.1377245508982036,167
strong_signal_only,test,temperature_scaled,HYP,3,0.30000000000000004,0.4,0.34688083827495575,0.21311475409836064,122
strong_signal_only,test,temperature_scaled,HYP,4,0.4,0.5,0.4468980302864855,0.20454545454545456,88
strong_signal_only,test,temperature_scaled,HYP,5,0.5,0.6000000000000001,0.5457135565353163,0.30303030303030304,66
strong_signal_only,test,temperature_scaled,HYP,6,0.6000000000000001,0.7000000000000001,0.6413363757587615,0.4603174603174603,63
strong_signal_only,test,temperature_scaled,HYP,7,0.7000000000000001,0.8,0.75746359752149,0.5714285714285714,49
strong_signal_only,test,temperature_scaled,HYP,8,0.8,0.9,0.8566282636080033,0.7948717948717948,39
strong_signal_only,test,temperature_scaled,HYP,9,0.9,1.0,0.9309666268527508,0.6875,16
signal_embedding_mlp,val,raw,NORM,0,0.0,0.1,0.012598152581413325,0.027149321266968326,884
signal_embedding_mlp,val,raw,NORM,1,0.1,0.2,0.14922507653141967,0.19801980198019803,101
