model_name,probability_mode,split,threshold,macro_net_benefit,macro_treat_all_net_benefit,macro_treat_none_net_benefit,macro_net_benefit_vs_treat_all,macro_net_benefit_vs_treat_none,analysis_subset
strong_signal_only,temperature_scaled,test,0.46,0.15338310976124186,-0.3954273179785709,0.0,0.5488104277398127,0.15338310976124186,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.47,0.151689087548889,-0.4217561352989212,0.0,0.5734452228478102,0.151689087548889,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.48,0.15085859470825302,-0.4490975994392851,0.0,0.5999561941475381,0.15085859470825302,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.49,0.14972977801599,-0.47751127785966324,0.0,0.6272410558756533,0.14972977801599,retained_80_coverage
strong_signal_only,temperature_scaled,test,0.5,0.14772209567198177,-0.5070615034168565,0.0,0.6547835990888383,0.14772209567198177,retained_80_coverage
structured_mlp,temperature_scaled,test,0.01,0.23595135023706454,0.23509471128518747,0.0,0.0008566389518770395,0.23595135023706454,retained_80_coverage
structured_mlp,temperature_scaled,test,0.02,0.23099865796658797,0.22728955527789346,0.0,0.0037091026886945213,0.23099865796658797,retained_80_coverage
structured_mlp,temperature_scaled,test,0.03,0.22677724010566425,0.2193234682189027,0.0,0.007453771886761584,0.22677724010566425,retained_80_coverage
structured_mlp,temperature_scaled,test,0.04,0.22245842781557065,0.2111914210128496,0.0,0.011267006802721092,0.22245842781557065,retained_80_coverage
structured_mlp,temperature_scaled,test,0.05,0.2188327962764053,0.20288817281298485,0.0,0.01594462346342045,0.2188327962764053,retained_80_coverage
structured_mlp,temperature_scaled,test,0.06,0.21530129782409418,0.19440825975780382,0.0,0.020893038066290344,0.21530129782409418,retained_80_coverage
structured_mlp,temperature_scaled,test,0.07,0.21192914441762367,0.18574598298100603,0.0,0.02618316143661767,0.21192914441762367,retained_80_coverage
structured_mlp,temperature_scaled,test,0.08,0.20928719313812483,0.1768953958394952,0.0,0.0323917972986296,0.20928719313812483,retained_80_coverage
structured_mlp,temperature_scaled,test,0.09,0.20629313996660933,0.1678502902992699,0.0,0.03844284966733946,0.20629313996660933,retained_80_coverage
structured_mlp,temperature_scaled,test,0.1,0.20380448475686572,0.15860418241370622,0.0,0.04520030234315949,0.20380448475686572,retained_80_coverage
structured_mlp,temperature_scaled,test,0.11,0.20178221101174554,0.149150296822849,0.0,0.052631914188896546,0.20178221101174554,retained_80_coverage
structured_mlp,temperature_scaled,test,0.12,0.19984539270253557,0.1394815501958359,0.0,0.06036384250669966,0.19984539270253557,retained_80_coverage
structured_mlp,temperature_scaled,test,0.13,0.1967015925144004,0.12959053353142022,0.0,0.06711105898298017,0.1967015925144004,retained_80_coverage
structured_mlp,temperature_scaled,test,0.14,0.1948109476348679,0.11946949322364604,0.0,0.07534145441122186,0.1948109476348679,retained_80_coverage
structured_mlp,temperature_scaled,test,0.15,0.19310390822995865,0.10911031079098303,0.0,0.08399359743897561,0.19310390822995865,retained_80_coverage
structured_mlp,temperature_scaled,test,0.16,0.1910268869452543,0.09850448115754237,0.0,0.09252240578771193,0.1910268869452543,retained_80_coverage
structured_mlp,temperature_scaled,test,0.17,0.189091058109991,0.08764308936425975,0.0,0.10144796874573123,0.189091058109991,retained_80_coverage
structured_mlp,temperature_scaled,test,0.18,0.1871163099386096,0.07651678557601904,0.0,0.11059952436259055,0.1871163099386096,retained_80_coverage
structured_mlp,temperature_scaled,test,0.19,0.18575767755661937,0.06511575823745136,0.0,0.12064191931916798,0.18575767755661937,retained_80_coverage
structured_mlp,temperature_scaled,test,0.2,0.18418367346938774,0.053429705215419496,0.0,0.13075396825396823,0.18418367346938774,retained_80_coverage
structured_mlp,temperature_scaled,test,0.21,0.18228852722523609,0.04144780274979192,0.0,0.14084072447544416,0.18228852722523609,retained_80_coverage
structured_mlp,temperature_scaled,test,0.22,0.18064131635560204,0.029158672015814867,0.0,0.1514826443397872,0.18064131635560204,retained_80_coverage
structured_mlp,temperature_scaled,test,0.23,0.17888800541861766,0.01655034308095533,0.0,0.16233766233766234,0.17888800541861766,retained_80_coverage
structured_mlp,temperature_scaled,test,0.24,0.17694235588972432,0.0036102160162310715,0.0,0.17333213987349325,0.17694235588972432,retained_80_coverage
structured_mlp,temperature_scaled,test,0.25,0.17554799697656842,-0.009674981103552516,0.0,0.18522297808012095,0.17554799697656842,retained_80_coverage
structured_mlp,temperature_scaled,test,0.26,0.1744836673408102,-0.023319237604951915,0.0,0.1978029049457621,0.1744836673408102,retained_80_coverage
structured_mlp,temperature_scaled,test,0.27,0.17282949709564194,-0.03733730935296496,0.0,0.2101668064486069,0.17282949709564194,retained_80_coverage
structured_mlp,temperature_scaled,test,0.28,0.17085537918871252,-0.051744771982867276,0.0,0.22260015117157977,0.17085537918871252,retained_80_coverage
structured_mlp,temperature_scaled,test,0.29,0.1697853789403085,-0.06655807863051325,0.0,0.23634345757082179,0.1697853789403085,retained_80_coverage
structured_mlp,temperature_scaled,test,0.3,0.1686912860382248,-0.08179462261094915,0.0,0.25048590864917397,0.1686912860382248,retained_80_coverage
structured_mlp,temperature_scaled,test,0.31,0.1675786256531598,-0.09747280554733975,0.0,0.26505143120049957,0.1675786256531598,retained_80_coverage
structured_mlp,temperature_scaled,test,0.32,0.1663265306122449,-0.11361211151127122,0.0,0.2799386421235161,0.1663265306122449,retained_80_coverage
structured_mlp,temperature_scaled,test,0.33,0.16516905269570514,-0.13023318780248422,0.0,0.2954022404981894,0.16516905269570514,retained_80_coverage
structured_mlp,temperature_scaled,test,0.34,0.1639455782312925,-0.14735793307221887,0.0,0.31130351130351136,0.1639455782312925,retained_80_coverage
structured_mlp,temperature_scaled,test,0.35,0.1626460840746555,-0.16500959358102213,0.0,0.32765567765567766,0.1626460840746555,retained_80_coverage
structured_mlp,temperature_scaled,test,0.36,0.16046626984126983,-0.1832128684807256,0.0,0.3436791383219954,0.16046626984126983,retained_80_coverage
