model_name,probability_mode,split,threshold,macro_net_benefit,macro_treat_all_net_benefit,macro_treat_none_net_benefit,macro_net_benefit_vs_treat_all,macro_net_benefit_vs_treat_none
gated_fusion_mlp,temperature_scaled,test,0.26,0.18135405651329217,-0.008041708678651383,0.0,0.18939576519194357,0.18135405651329217
gated_fusion_mlp,temperature_scaled,test,0.27,0.17953681428945367,-0.02185049920849593,0.0,0.20138731349794964,0.17953681428945367
gated_fusion_mlp,temperature_scaled,test,0.28,0.1778889899909008,-0.0360428672530584,0.0,0.2139318572439592,0.1778889899909008
gated_fusion_mlp,temperature_scaled,test,0.29,0.17562444732086788,-0.05063502031296059,0.0,0.22625946763382848,0.17562444732086788
gated_fusion_mlp,temperature_scaled,test,0.3,0.1739373456388925,-0.06564409203171717,0.0,0.23958143767060966,0.1739373456388925
gated_fusion_mlp,temperature_scaled,test,0.31,0.17287916551278498,-0.08108820930753917,0.0,0.25396737482032417,0.17287916551278498
gated_fusion_mlp,temperature_scaled,test,0.32,0.17115559599636032,-0.09698656532676768,0.0,0.268142161323128,0.17115559599636032
gated_fusion_mlp,temperature_scaled,test,0.33,0.16921760623633425,-0.113359499137615,0.0,0.28257710537394926,0.16921760623633425
gated_fusion_mlp,temperature_scaled,test,0.34,0.1670333912372129,-0.1302285824578819,0.0,0.2972619736950948,0.1670333912372129
gated_fusion_mlp,temperature_scaled,test,0.35,0.16522712955833976,-0.1476167144956954,0.0,0.31284384405403515,0.16522712955833976
gated_fusion_mlp,temperature_scaled,test,0.36,0.1633359872611465,-0.16554822565969063,0.0,0.32888421292083714,0.1633359872611465
gated_fusion_mlp,temperature_scaled,test,0.37,0.1607435330820226,-0.18404899114635243,0.0,0.34479252422837503,0.1607435330820226
gated_fusion_mlp,temperature_scaled,test,0.38,0.15883060847104408,-0.20314655551968067,0.0,0.3619771639907247,0.15883060847104408
gated_fusion_mlp,temperature_scaled,test,0.39,0.1566058562926058,-0.2228702695445935,0.0,0.37947612583719925,0.1566058562926058
gated_fusion_mlp,temperature_scaled,test,0.4,0.15462541704579919,-0.2432514407036701,0.0,0.3978768577494693,0.15462541704579919
gated_fusion_mlp,temperature_scaled,test,0.41,0.15315155534306996,-0.2643234990206812,0.0,0.4174750543637512,0.15315155534306996
gated_fusion_mlp,temperature_scaled,test,0.42,0.1511373976342129,-0.2861221800382793,0.0,0.43725957767249213,0.1511373976342129
gated_fusion_mlp,temperature_scaled,test,0.43,0.14927446003543893,-0.30868572705649466,0.0,0.4579601870919336,0.14927446003543893
gated_fusion_mlp,temperature_scaled,test,0.44,0.14751072403483684,-0.3320551150396464,0.0,0.47956583907448336,0.14751072403483684
gated_fusion_mlp,temperature_scaled,test,0.45,0.1456778889899909,-0.35627429894945817,0.0,0.5019521879394491,0.1456778889899909
gated_fusion_mlp,temperature_scaled,test,0.46,0.14336265291679304,-0.3813904896707445,0.0,0.5247531425875376,0.14336265291679304
gated_fusion_mlp,temperature_scaled,test,0.47,0.14291894861537935,-0.407454461173966,0.0,0.5503734097893453,0.14291894861537935
gated_fusion_mlp,temperature_scaled,test,0.48,0.14103730664240216,-0.4345208931196193,0.0,0.5755581997620214,0.14103730664240216
gated_fusion_mlp,temperature_scaled,test,0.49,0.13944405787792824,-0.46264875376902354,0.0,0.6020928116469518,0.13944405787792824
gated_fusion_mlp,temperature_scaled,test,0.5,0.13876251137397633,-0.49190172884440403,0.0,0.6306642402183804,0.13876251137397633
strong_signal_only,temperature_scaled,test,0.01,0.2474526888539627,0.24651427836141213,0.0,0.0009384104925506204,0.2474526888539627
strong_signal_only,temperature_scaled,test,0.02,0.2413585634435758,0.23882564854877347,0.0,0.0025329148948023323,0.2413585634435758
strong_signal_only,temperature_scaled,test,0.03,0.2367963378141328,0.23097849028638967,0.0,0.005817847527743131,0.2367963378141328
strong_signal_only,temperature_scaled,test,0.04,0.23268122535638458,0.22296784956020624,0.0,0.009713375796178352,0.23268122535638458
strong_signal_only,temperature_scaled,test,0.05,0.22891623964369523,0.21478856376610317,0.0,0.014127675877592083,0.22891623964369523
strong_signal_only,temperature_scaled,test,0.06,0.2254080111513368,0.2064352506146787,0.0,0.01897276053665809,0.2254080111513368
strong_signal_only,temperature_scaled,test,0.07,0.22236833093623726,0.1979022963202129,0.0,0.024466034616024358,0.22236833093623726
strong_signal_only,temperature_scaled,test,0.08,0.21921509672825099,0.18918384301934565,0.0,0.030031253708905338,0.21921509672825099
strong_signal_only,temperature_scaled,test,0.09,0.2159385655291024,0.18027377536021758,0.0,0.03566479016888482,0.2159385655291024
strong_signal_only,temperature_scaled,test,0.1,0.2131331513497119,0.1711657061975533,0.0,0.04196744515215855,0.2131331513497119
strong_signal_only,temperature_scaled,test,0.11,0.21012156096962512,0.16185296132336854,0.0,0.04826859964625655,0.21012156096962512
