model_name,probability_mode,coverage,uncertainty_score,referred_n,referral_fraction,mean_predicted_labels_per_record,mean_entropy,mean_margin_uncertainty,error_rate_if_available,NORM_prevalence,MI_prevalence,STTC_prevalence,CD_prevalence,HYP_prevalence
signal_embedding_mlp,raw,0.7,entropy_max,650,0.2957233848953594,1.8246153846153843,0.3636220266554975,-0.0990257932055384,0.74,0.2276923076923077,0.3830769230769231,0.3569230769230769,0.3015384615384615,0.1907692307692307
signal_embedding_mlp,raw,0.6,entropy_max,894,0.4067333939945405,1.7606263982102908,0.3483015786992024,-0.1046031863597315,0.7024608501118568,0.2371364653243848,0.3601789709172259,0.3557046979865771,0.3165548098434004,0.1778523489932885
signal_embedding_mlp,raw,0.5,entropy_max,1151,0.5236578707916287,1.6967854039965249,0.3304747221424343,-0.1092947399397046,0.6576889661164205,0.2510860121633362,0.3492615117289314,0.3370981754995656,0.3223284100781928,0.1685490877497828
signal_embedding_mlp,raw,1.0,margin_uncertainty,0,0.0,,,,,,,,,
signal_embedding_mlp,raw,0.9,margin_uncertainty,213,0.0969062784349408,1.7136150234741785,0.3520824513946408,-0.012510846197183,0.7136150234741784,0.2394366197183098,0.3661971830985915,0.3192488262910798,0.2957746478873239,0.1690140845070422
signal_embedding_mlp,raw,0.8,margin_uncertainty,429,0.1951774340309372,1.634032634032634,0.34191069970393,-0.0274068762657342,0.6946386946386947,0.2354312354312354,0.3636363636363636,0.3123543123543124,0.331002331002331,0.1515151515151515
signal_embedding_mlp,raw,0.7,margin_uncertainty,587,0.2670609645131938,1.6388415672913117,0.3352887319282748,-0.0390322504701873,0.6746166950596252,0.2265758091993185,0.3611584327086882,0.313458262350937,0.3390119250425894,0.1550255536626916
signal_embedding_mlp,raw,0.6,margin_uncertainty,809,0.3680618744313012,1.6168108776266996,0.3226727715990388,-0.0557333154252163,0.6378244746600742,0.2323856613102596,0.3597033374536464,0.315203955500618,0.3374536464771323,0.1508034610630408
signal_embedding_mlp,raw,0.5,margin_uncertainty,1060,0.4822565969062784,1.5613207547169812,0.3060890469370632,-0.0727408280320754,0.589622641509434,0.2613207547169811,0.3424528301886792,0.3056603773584905,0.3188679245283018,0.1377358490566037
signal_embedding_mlp,temperature_scaled,1.0,entropy_macro,0,0.0,,,,,,,,,
signal_embedding_mlp,temperature_scaled,0.9,entropy_macro,216,0.0982711555959963,1.9722222222222223,0.5101795646177208,-0.0607056446252434,0.8425925925925926,0.1435185185185185,0.4537037037037037,0.3842592592592592,0.2453703703703703,0.2222222222222222
signal_embedding_mlp,temperature_scaled,0.8,entropy_macro,441,0.2006369426751592,2.0,0.4732380308818857,-0.070439727403515,0.7868480725623582,0.1678004535147392,0.4263038548752834,0.4104308390022675,0.2925170068027211,0.2199546485260771
signal_embedding_mlp,temperature_scaled,0.7,entropy_macro,682,0.3102820746132848,1.872434017595308,0.4429546733905382,-0.075884418714167,0.7375366568914956,0.2140762463343108,0.3856304985337243,0.3958944281524926,0.2800586510263929,0.1950146627565982
